task_id,n,Fc_over_F,F_over_Fc,F,Fc,J,gamma_mu,zeta,simulation_time,alpha,dt,nums,timestamp
89,1,9.800000000000008,0.10204081632653053,1.206997084548104e-12,1.1828571428571428e-11,3.157433653165678e-08,0.0026331184282950286,1.0065662862101696e-07,216.41123986244202,0.07,0.001,1000000,20251006_022510
90,1,9.900000000000007,0.10101010101010094,1.194805194805194e-12,1.1828571428571428e-11,3.154527496918548e-08,0.0026575386859101074,1.0065662862101696e-07,216.27088165283203,0.07,0.001,1000000,20251006_022847
91,1,10.000000000000007,0.09999999999999992,1.1828571428571418e-12,1.1828571428571428e-11,3.160613712068602e-08,0.0026895616478397146,1.0065662862101696e-07,218.57815527915955,0.07,0.001,1000000,20251006_023225
92,1,10.100000000000009,0.09900990099009893,1.1711456859971702e-12,1.1828571428571428e-11,3.156954292238575e-08,0.0027133120974340637,1.0065662862101696e-07,217.91173338890076,0.07,0.001,1000000,20251006_023603
93,1,10.200000000000008,0.09803921568627443,1.1596638655462173e-12,1.1828571428571428e-11,3.160598693005289e-08,0.002743339844533821,1.0065662862101696e-07,221.49447560310364,0.07,0.001,1000000,20251006_023945
94,1,10.300000000000008,0.09708737864077663,1.1484049930651862e-12,1.1828571428571428e-11,3.1515221292574486e-08,0.002762279809572174,1.0065662862101696e-07,216.83112454414368,0.07,0.001,1000000,20251006_024322
95,1,10.40000000000001,0.09615384615384606,1.1373626373626361e-12,1.1828571428571428e-11,3.156225135418607e-08,0.0027932602220592903,1.0065662862101696e-07,216.0561056137085,0.07,0.001,1000000,20251006_024658
96,1,10.500000000000009,0.09523809523809516,1.126530612244897e-12,1.1828571428571428e-11,3.1573423365516204e-08,0.0028211167237291385,1.0065662862101696e-07,219.70197677612305,0.07,0.001,1000000,20251006_025037
97,1,10.600000000000009,0.09433962264150936,1.1159029649595678e-12,1.1828571428571428e-11,3.151737134936026e-08,0.002842928500631936,1.0065662862101696e-07,218.35218000411987,0.07,0.001,1000000,20251006_025416
98,1,10.700000000000008,0.09345794392523357,1.1054739652870486e-12,1.1828571428571428e-11,3.152207993411148e-08,0.002870177311200621,1.0065662862101696e-07,217.93986058235168,0.07,0.001,1000000,20251006_025754
99,1,10.800000000000008,0.09259259259259253,1.0952380952380945e-12,1.1828571428571428e-11,3.1552313708151315e-08,0.00289977999931128,1.0065662862101696e-07,222.34043169021606,0.07,0.001,1000000,20251006_030136
100,1,10.90000000000001,0.09174311926605497,1.0851900393184786e-12,1.1828571428571428e-11,3.153365881076184e-08,0.0029248994820944866,1.0065662862101696e-07,214.6936867237091,0.07,0.001,1000000,20251006_030511
101,1,11.000000000000009,0.09090909090909084,1.0753246753246744e-12,1.1828571428571428e-11,3.1528483274142936e-08,0.002951248962041307,1.0065662862101696e-07,217.76609587669373,0.07,0.001,1000000,20251006_030849
102,1,11.100000000000009,0.09009009009009002,1.0656370656370647e-12,1.1828571428571428e-11,3.156206684938165e-08,0.0029812506938942385,1.0065662862101696e-07,220.91355633735657,0.07,0.001,1000000,20251006_031229
103,1,11.20000000000001,0.0892857142857142,1.0561224489795909e-12,1.1828571428571428e-11,3.158050616814811e-08,0.003009866217787828,1.0065662862101696e-07,246.46467566490173,0.07,0.001,1000000,20251006_021452
104,1,11.30000000000001,0.08849557522123887,1.0467762326169397e-12,1.1828571428571428e-11,3.153827660561463e-08,0.003032679283997422,1.0065662862101696e-07,245.8066394329071,0.07,0.001,1000000,20251006_021858
105,1,11.40000000000001,0.08771929824561396,1.037593984962405e-12,1.1828571428571428e-11,3.1526642957866275e-08,0.003058388577678894,1.0065662862101696e-07,246.3529794216156,0.07,0.001,1000000,20251006_022304
106,1,11.500000000000009,0.08695652173913036,1.0285714285714276e-12,1.1828571428571428e-11,3.1552795239085785e-08,0.0030877758258818847,1.0065662862101696e-07,240.07048225402832,0.07,0.001,1000000,20251006_022704
107,1,11.600000000000009,0.08620689655172407,1.019704433497536e-12,1.1828571428571428e-11,3.152429740436801e-08,0.0031118129843628133,1.0065662862101696e-07,250.20848989486694,0.07,0.001,1000000,20251006_023114
108,1,11.70000000000001,0.0854700854700854,1.0109890109890102e-12,1.1828571428571428e-11,3.158533905958106e-08,0.0031447164202892722,1.0065662862101696e-07,250.80844569206238,0.07,0.001,1000000,20251006_023525
109,1,11.80000000000001,0.08474576271186433,1.0024213075060524e-12,1.1828571428571428e-11,3.154906812735109e-08,0.0031679522472787902,1.0065662862101696e-07,246.1630699634552,0.07,0.001,1000000,20251006_023931
110,1,11.90000000000001,0.08403361344537809,9.93997599039615e-13,1.1828571428571428e-11,3.158586099678159e-08,0.003198525110221518,1.0065662862101696e-07,248.8818461894989,0.07,0.001,1000000,20251006_024340
111,1,12.00000000000001,0.08333333333333326,9.857142857142848e-13,1.1828571428571428e-11,3.1495784308586554e-08,0.003216205253614402,1.0065662862101696e-07,251.1177201271057,0.07,0.001,1000000,20251006_024751
112,1,12.10000000000001,0.08264462809917349,9.77567886658795e-13,1.1828571428571428e-11,3.1543034023060575e-08,0.0032478720962194427,1.0065662862101696e-07,249.3175835609436,0.07,0.001,1000000,20251006_025201
113,1,12.20000000000001,0.08196721311475404,9.69555035128805e-13,1.1828571428571428e-11,3.15544796621313e-08,0.003275902270218865,1.0065662862101696e-07,238.73948502540588,0.07,0.001,1000000,20251006_025559
114,1,12.30000000000001,0.08130081300813002,9.61672473867595e-13,1.1828571428571428e-11,3.1498836948257074e-08,0.003296929899577441,1.0065662862101696e-07,248.4676866531372,0.07,0.001,1000000,20251006_030008
115,1,12.40000000000001,0.08064516129032252,9.539170506912434e-13,1.1828571428571428e-11,3.1503948203718305e-08,0.003324273543637306,1.0065662862101696e-07,240.76615405082703,0.07,0.001,1000000,20251006_030409
116,1,12.50000000000001,0.07999999999999993,9.462857142857135e-13,1.1828571428571428e-11,3.153442055601542e-08,0.003354323552355174,1.0065662862101696e-07,244.00308656692505,0.07,0.001,1000000,20251006_030813
